家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
5.7,99291277,2022年12月05日,2022年12月19日,福岡市中央区春吉２丁目4-11  mapを見る,リヴィエールシャン  604,福岡市空港線祇園駅 徒歩14分 駅までmap ,23.79㎡ / 約7.20坪,nan,ワンルーム,nan, 東,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 スマート保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,町費：200円 / 月トーマスclub：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上8階建,6階部分,2009[H21]年5月,空家,即時　,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 ＩＨクッキングヒーター　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　 ２口コンロ　 独立洗面脱衣所　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 眺望良好　,nan,代理,nan,"
",中央
3.4,99212244,2022年12月05日,2022年12月19日,福岡市中央区唐人町２丁目９－３  周辺mapを見る,グレイス唐人  202,福岡市空港線唐人町駅 徒歩7分 福岡市空港線大濠公園駅 徒歩15分 福岡市空港線西新駅 徒歩23分 ,16.53㎡ / 約5.00坪,nan,1K,洋5.6, 南東,nan,nan,nan,空有　1万1000円,nan,　,nan,nan,無,無,nan,無,nan,無,3500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,2001[H13]年8月,空家,相談　2022年10月21日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 洗面台　 洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.5,99309771,2022年12月06日,2022年12月20日,福岡市中央区今川１丁目9-29  mapを見る,メープル  602,福岡市空港線唐人町駅 徒歩5分 西鉄バス:地行バス停 徒歩2分 駅までmap ,25.1㎡ / 約7.59坪,nan,ワンルーム,9, 南西,nan,nan,nan,空無　1万3200円,nan,　,nan,nan,無,2ヶ月,nan,無,nan,無,nan,無,有 ニッポンインシュア 初回保証料50％　更新料10、000円/1年毎※契約者や条件によっては、内容が変更になる場合があります。,nan,有、10000円、1年、少額短期（例）※契約者や条件によっては、内容が変更になる場合があります。,10000円 ,カギ交換費用（契約時）：1万7600円消毒代（契約時）：1万1000円ライフサポート：800円更新事務手数料（更新時）：1万1000円,nan,集金手数料（月額）：220円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,6階部分,1996[H8]年3月,居住中,相談　,都市ガス　 電気　 上水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 バイク置場(屋外）　 独立洗面脱衣所　,nan,■1年以内の解約は違約金1ヶ月 ■退去時精算、故意過失のみの実費精算 / ■1年以内の解約は違約金1ヶ月■退去時精算、故意過失のみの実費精算,代理,nan,"
",中央
5.8,99301934,2022年12月05日,2022年12月19日,福岡市中央区大名１丁目1-9  mapを見る,atlas  702,西鉄天神大牟田線西鉄福岡（天神）駅 徒歩9分 駅までmap ,壁芯24.8㎡ / 約7.50坪,nan,ワンルーム,nan, 西,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,3000円,無,"有 全保連株式会社（初回のみ（100％）または、初回（50％）＋10,000円／毎年）※契約者や条件によっては、内容が変更になる場合があります。",nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料10000円 ,退去時清掃預金(税抜：4万円,nan,町費：200円 / 月くらしーど24(税抜：1万5000円 / 年,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上12階建地下1階建,7階部分,2001[H13]年2月,空家,即時　,都市ガス　 エアコン　 バス・トイレ別　 温水洗浄便座　 室内洗濯機置場　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 駐輪場　 防犯カメラ　 シューズボックス　,ペット不可　 角部屋　,nan,代理,賃貸管理部,"
										TEL：092-738-8222
",中央
6.3,98852252,2022年12月05日,2022年12月19日,福岡市中央区天神３丁目15-25  mapを見る,リファレンス天神  805,福岡市空港線天神駅 徒歩5分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap 福岡市七隈線天神南駅 徒歩12分 駅までmap ,24.94㎡ / 約7.54坪,nan,1K,nan, 東,nan,福岡市立舞鶴小学校　距離787ｍ,福岡市立舞鶴中学校　距離796ｍ,無,nan,　,nan,nan,無,無,実費,無,nan,無,4000円,無,有 コマーシュ福岡（更新料：なし　学生プラン有り）※契約者や条件によっては、内容が変更になる場合があります。,初回のみ月額総賃料の60％,有、18000円、2年、全管協共済会（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,ネット初回登録料：3850円アイテムセット：3万円,nan,水道代：3300円 / 月口座振替手数料：400円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上10階建,8階部分,2006[H18]年3月,居住中,相談　（12/18退去予定）,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 コインランドリー　 24時間換気システム　 バイク置場(屋外）　 バイク駐輪場（大型可）　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 全居室フローリング　 インターネット対応　 シューズボックス　 全室照明付　 室内物干機　 来客用パーキング　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 フリーレント（1ヶ月）　,"ネット無料！超好立地★天神ど真ん中物件です！！ネット無料で小型犬飼育相談可！ペット飼育時：1匹5,000円／月※小型犬2匹まで飼育可敷金・礼金ゼロプランです！またこの他家賃減額プランもございます！詳しくは担当：西下(にしした)迄お問い合わせ下さい！※写真は805号室のものです。現況を優先といたします。",貸主,西下（にしした）,"
										TEL：080-3904-1614
",中央
7.5,99111207,2022年12月06日,2022年12月20日,福岡市中央区大手門３丁目７－１  mapを見る,第５土肥ビル  502,福岡市空港線大濠公園駅 徒歩3分 港２丁目バス停 徒歩2分 駅までmap 福岡市空港線赤坂駅 徒歩16分 駅までmap ,37.08㎡ / 約11.22坪,nan,1LDK,nan, 東,nan,nan,nan,空有　2万2000円,nan,　,nan,nan,無,2ヶ月 / 15万円,nan,無,nan,無,5000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上8階建,5階部分,1991[H3]年3月,空家,相談　2022年4月29日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 駐輪場　 独立洗面脱衣所　,nan,近くに24時間営業のスーパーやコンビニもあるので日用品の買い物もすごく便利です！休日は大濠公園で散歩なんていかがですか？駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.5,99259850,2022年12月06日,2022年12月20日,福岡市中央区薬院２丁目4-29  周辺mapを見る,Ｙｉｓ’１薬院（ワイズワン薬院）  301,福岡市七隈線薬院大通駅 徒歩2分 薬院２丁目バス停 徒歩2分 西鉄天神大牟田線薬院駅 徒歩9分 ,20㎡ / 約6.05坪,nan,ワンルーム,洋 10,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,無,nan,nan,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,水道料：2600円 / 月衛生費：300円 / 月,定期借家,2年,nan,巡回,nan,ＲＣ,nan,nan,地上5階建,3階部分,1985[S60]年5月,空家,相談　,都市ガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 洗濯機置場　 フローリング　 バルコニー　,閑静住宅街　 事務所使用可　,広めの１Ｒｏｏｍです。Ｊ－ｃｏｍＩｎＭｙＲｏｏｍ４０Ｍインターネット無料※事務所使用　相談可！（諸条件変更あります。）,一般媒介,nan,"
										TEL：092-801-7007
",中央
10.0,99275022,2022年12月05日,2022年12月19日,福岡市中央区小笹１丁目10-45  mapを見る,アルファヒルズ小笹  301号室,小笹バス停バス停 徒歩5分 ,内法82.8㎡ / 約25.05坪,nan,4LDK,ＬＤＫ15.4／洋6／洋5.3／洋5／和6, 南 東 18.95㎡,nan,小笹　距離578ｍ,平尾　距離716ｍ,空有　1万2100円,自走（平置きも含む）,【 屋根状況　屋根あり 】　,nan,nan,1ヶ月,2ヶ月,nan,無,nan,無,無,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上6階建,3階部分,1995[H7]年10月,空家,即時　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 システムキッチン　 カウンターキッチン　 洗面所　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 ディンプルキー　 バルコニー　 ２面バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 和室有　 ３口コンロ以上　,日当り良好　 閑静住宅街　 分譲タイプ　 角部屋　 外観タイル張り　,分譲タイプＬ型コーナーキッチン☆人気の小笹分譲賃貸マンションに空き出ました！！Ｌ型コーナーキッチン完備♪日当たり良好☆バルコニーからの見晴らしも良いです！,貸主,藤本,"
										TEL：093-953-6606
",中央
5.4,99277244,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目1-18  mapを見る,リバティ高砂六番館  905,福岡市七隈線渡辺通駅 徒歩9分 駅までmap ,24.5㎡ / 約7.41坪,nan,1DK,ＤＫ6.6／洋4.7／ロフト,nan,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,無,無,実費,無,nan,無,5000円,3680円,"有 ジェイリース（30％の場合、更新料10,000円/年あり）※契約者や条件によっては、内容が変更になる場合があります。",30％又は80％,有、17000円、2年、東京海上ウエスト少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上9階建,9階部分,2002[H14]年7月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 全居室フローリング　 ＣＡＴＶインターネット　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 日当り良好　 最上階　,※退去時清掃代1ヶ月ペット飼育時礼金1ヶ月追加,一般媒介,nan,"
",中央
12.4,98904762,2022年12月05日,2022年12月19日,福岡市中央区大名１丁目９－５０  周辺mapを見る,ネクストオーク大名  1001,福岡市空港線赤坂駅 徒歩5分 福岡市空港線天神駅 徒歩10分 福岡市空港線大濠公園駅 徒歩18分 ,43.63㎡ / 約13.20坪,nan,1LDK,ＬＤＫ11.6／洋4.7, 西,nan,nan,nan,空有　2万6400円,nan,　,nan,nan,無,1ヶ月 / 12.4万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,10階部分,2020[R2]年7月,空家,相談　2022年11月28日,電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 システムキッチン　 ＩＨクッキングヒーター　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　,1階にはマックスバリューが入っているのでとても便利です。駐車場の空きについては要確認,専任媒介,nan,"
",中央
